,Country,IDH,GNI_per_capita,pop_total,densidade_pop,pop_idade,pop_urbana,chegada_turistas,gasto_saude_per_capita,acesso_agua,temp_media,area_floresta,precipitacao
22,MALTA,0.89,34795.18,441543.0,1380.0,43.0,0.93,2599000.0,2585.56,1.0,19.2,0.01,560.0
23,ITALY,0.88,36141.43,60461826.0,206.0,47.0,0.69,61567200.0,2840.13,1.0,13.45,0.32,832.0
24,ESTONIA,0.88,30378.63,1326535.0,31.0,42.0,0.68,3234000.0,1300.48,1.0,5.1,0.51,626.0
25,CYPRUS,0.87,33100.32,1207359.0,131.0,37.0,0.67,3939000.0,1731.69,1.0,18.45,0.19,498.0
26,GREECE,0.87,24909.34,10423054.0,81.0,46.0,0.85,30123000.0,1516.59,1.0,15.4,0.32,652.0
27,POLAND,0.87,27625.8,37846611.0,124.0,42.0,0.6,19622000.0,906.82,0.99,7.85,0.31,600.0
28,LITHUANIA,0.87,29775.26,2722289.0,43.0,45.0,0.71,2825000.0,1078.18,1.0,6.2,0.35,656.0
29,UNITED ARAB EMIRATES,0.87,66911.66,9890402.0,118.0,33.0,0.86,21286000.0,1357.02,1.0,27.0,0.05,78.0
30,SAUDI ARABIA,0.86,49338.41,34813871.0,16.0,32.0,0.84,15334000.0,1093.41,0.97,24.65,0.0,59.0
31,LATVIA,0.85,26300.77,1886198.0,30.0,44.0,0.69,1946000.0,930.35,1.0,5.6,0.54,641.0
32,PORTUGAL,0.85,27935.38,10196709.0,111.0,46.0,0.66,16186000.0,1908.03,1.0,15.15,0.35,854.0
33,QATAR,0.85,110488.74,2881053.0,248.0,32.0,0.96,1819300.0,1649.19,1.0,27.15,0.0,74.0
34,CHILE,0.85,21972.28,19116201.0,26.0,35.0,0.85,5723000.0,1381.99,1.0,8.45,0.24,1522.0
35,HUNGARY,0.84,27144.21,9660351.0,107.0,43.0,0.72,17552000.0,981.42,1.0,9.75,0.23,589.0
36,BAHRAIN,0.84,40399.12,1701575.0,2239.0,32.0,0.89,12045000.0,1127.19,1.0,27.15,0.01,83.0
37,CROATIA,0.84,23060.96,4105267.0,73.0,44.0,0.58,16645000.0,902.14,1.0,10.9,0.34,1113.0
38,OMAN,0.83,37039.23,5106626.0,16.0,31.0,0.87,2301000.0,587.65,0.96,25.6,0.0,125.0
39,ARGENTINA,0.83,17611.22,45195774.0,17.0,32.0,0.93,6942000.0,1324.6,0.99,14.8,0.1,591.0
40,BELARUS,0.82,17038.53,9449323.0,47.0,40.0,0.79,11501600.0,342.5,1.0,6.15,0.43,618.0
41,KAZAKHSTAN,0.82,22167.7,18776707.0,7.0,31.0,0.58,8789000.0,279.65,0.99,6.4,0.01,250.0
42,BULGARIA,0.82,19645.94,6948445.0,64.0,45.0,0.76,9273000.0,663.72,1.0,10.55,0.35,608.0
43,ROMANIA,0.82,23905.77,19237691.0,84.0,43.0,0.55,11720000.0,555.1,1.0,8.8,0.3,637.0
44,BARBADOS,0.81,15912.28,287375.0,668.0,40.0,0.31,680000.0,1183.84,1.0,26.0,0.15,1422.0
45,URUGUAY,0.81,19434.85,3473730.0,20.0,36.0,0.96,3469000.0,1591.53,1.0,17.55,0.11,1300.0
46,TURKEY,0.81,24905.38,84339067.0,110.0,32.0,0.76,45768000.0,444.65,1.0,11.1,0.15,593.0
47,MALAYSIA,0.8,27226.68,32365999.0,99.0,30.0,0.78,25832000.0,384.07,1.0,25.4,0.68,2875.0
48,SEYCHELLES,0.8,25076.87,98347.0,214.0,34.0,0.56,362000.0,791.66,0.96,27.15,0.88,2330.0
49,TRINIDAD AND TOBAGO,0.8,28497.37,1399488.0,273.0,36.0,0.52,375000.0,1124.09,0.95,25.75,0.46,2200.0
50,MAURITIUS,0.8,22724.23,1271768.0,626.0,37.0,0.41,1399000.0,599.7,1.0,22.4,0.19,2041.0
51,PANAMA,0.8,20454.87,4314767.0,58.0,30.0,0.68,1785000.0,1112.3,0.98,25.4,0.62,2928.0
52,COSTA RICA,0.79,14789.93,5094118.0,100.0,33.0,0.8,3017000.0,869.08,1.0,24.8,0.55,2926.0
53,GEORGIA,0.79,9569.52,3989167.0,57.0,38.0,0.58,4757000.0,293.05,1.0,5.8,0.41,1026.0
54,SRI LANKA,0.78,11610.91,21413249.0,341.0,34.0,0.18,2334000.0,159.48,0.98,26.95,0.33,1712.0
55,CUBA,0.78,7811.36,11326616.0,106.0,42.0,0.78,4684000.0,987.63,0.96,25.2,0.31,1335.0
56,ANTIGUA AND BARBUDA,0.78,22201.23,97929.0,223.0,34.0,0.26,269000.0,673.86,0.98,26.0,0.22,1030.0
57,BOSNIA AND HERZEGOVINA,0.77,12689.68,3280819.0,64.0,43.0,0.52,1053000.0,460.47,1.0,9.85,0.43,1028.0
58,MEXICO,0.77,17628.12,128932753.0,66.0,29.0,0.84,41313000.0,494.68,0.97,21.0,0.34,758.0
59,THAILAND,0.76,16128.55,69799978.0,137.0,40.0,0.51,38178000.0,247.04,0.98,26.3,0.32,1622.0
60,GRENADA,0.76,12683.83,112523.0,331.0,32.0,0.35,185000.0,497.24,0.99,26.65,0.5,2350.0
61,BRAZIL,0.76,14068.05,212559417.0,25.0,33.0,0.88,6621000.0,928.8,1.0,24.95,0.59,1761.0
62,COLOMBIA,0.76,12895.59,50882891.0,46.0,31.0,0.8,3904000.0,459.2,0.97,24.5,0.53,3240.0
63,ARMENIA,0.76,9277.23,2963243.0,104.0,35.0,0.63,1652000.0,407.64,1.0,7.15,0.12,562.0
64,ALGERIA,0.76,13639.43,43851044.0,18.0,29.0,0.73,2657000.0,258.49,0.84,22.5,0.01,89.0
65,PERU,0.76,12322.66,32971854.0,26.0,31.0,0.79,4419000.0,332.57,0.91,19.6,0.58,1738.0
66,CHINA,0.76,16126.57,1439323776.0,153.0,38.0,0.61,62900000.0,440.83,0.98,6.95,0.22,645.0
67,ECUADOR,0.76,10141.15,17643054.0,71.0,28.0,0.63,2535000.0,518.03,0.93,21.85,0.5,2274.0
68,AZERBAIJAN,0.75,15240.14,10139177.0,123.0,32.0,0.56,2633000.0,275.81,0.95,11.95,0.14,447.0
69,UKRAINE,0.75,7994.21,43733762.0,75.0,41.0,0.69,14104000.0,177.41,0.96,8.3,0.17,565.0
70,DOMINICAN REPUBLIC,0.74,15074.26,10847910.0,225.0,28.0,0.85,6569000.0,433.21,0.85,24.55,0.42,1410.0
71,TUNISIA,0.74,10676.96,11818619.0,76.0,33.0,0.7,8299000.0,250.56,1.0,19.2,0.07,207.0
72,MONGOLIA,0.73,10783.71,3278290.0,2.0,28.0,0.67,529000.0,148.78,0.66,-0.7,0.08,241.0
73,LEBANON,0.73,11136.25,6825445.0,667.0,30.0,0.78,1964000.0,719.44,0.99,16.4,0.13,661.0
74,JAMAICA,0.73,7931.52,2961167.0,273.0,31.0,0.55,2473000.0,307.2,0.98,24.95,0.31,2051.0
75,FIJI,0.72,9110.44,896445.0,49.0,28.0,0.59,870000.0,188.41,1.0,24.4,0.56,2592.0
76,PARAGUAY,0.72,11719.96,7132538.0,18.0,26.0,0.62,1181000.0,381.11,1.0,23.55,0.38,1130.0
77,JORDAN,0.72,8267.81,10203134.0,115.0,24.0,0.91,4150000.0,340.66,0.98,18.3,0.01,111.0
78,BELIZE,0.72,7135.97,397628.0,17.0,25.0,0.46,489000.0,280.5,0.99,25.3,0.6,1705.0
79,MALDIVES,0.72,12549.26,540544.0,1802.0,30.0,0.35,1484000.0,1006.94,1.0,27.65,0.03,1972.0
80,PHILIPPINES,0.71,9539.7,109581078.0,368.0,26.0,0.47,7168000.0,132.9,0.94,25.85,0.28,2348.0
81,MOLDOVA,0.71,6833.11,4033963.0,123.0,38.0,0.43,160000.0,191.19,0.97,9.45,0.13,450.0
82,UZBEKISTAN,0.71,6461.84,33469203.0,79.0,28.0,0.5,5346000.0,98.82,0.98,12.05,0.08,206.0
83,INDONESIA,0.71,11255.78,273523615.0,151.0,30.0,0.56,15810000.0,114.97,0.94,25.85,0.5,2702.0
84,SOUTH AFRICA,0.7,11756.3,59308690.0,49.0,28.0,0.67,10472000.0,499.24,1.0,17.75,0.08,495.0
85,BOLIVIA,0.7,6849.2,11673021.0,11.0,26.0,0.69,1142000.0,220.27,0.97,21.55,0.5,1146.0
86,VIETNAM,0.69,6220.27,97338579.0,314.0,32.0,0.38,15498000.0,129.58,0.99,24.45,0.48,1821.0
87,MOROCCO,0.68,7479.59,36910560.0,83.0,30.0,0.64,12289000.0,161.01,0.99,17.1,0.13,346.0
88,GUYANA,0.67,7615.42,786552.0,4.0,27.0,0.27,287000.0,230.53,0.98,26.0,0.84,2387.0
89,EL SALVADOR,0.67,6973.46,6486205.0,313.0,28.0,0.73,1677300.0,282.49,0.98,24.45,0.13,1784.0
90,TAJIKISTAN,0.66,3482.38,9537645.0,68.0,22.0,0.27,1035000.0,57.9,0.93,2.0,0.03,691.0
91,GUATEMALA,0.65,7377.92,17915568.0,167.0,23.0,0.52,1781000.0,259.94,0.98,23.45,0.33,1996.0
