pais,IDH,expect_vida,escolaridade_media,GNI_per_capita,pop_total,densidade_pop,pop_idade,pop_urbana,acesso_eletricidade,chegada_turistas,gasto_saude_per_capita,acesso_agua,temp_media,area_floresta,precipitacao
UNITED KINGDOM,0.92,81.24,12.95,39507.29,67886011.0,281.0,40.0,0.83,1.0,36316000.0,3858.67,1.0,8.45,0.13,1220.0
UNITED STATES,0.92,78.85,13.41,56140.23,331002651.0,36.0,38.0,0.83,1.0,79745920.0,10246.14,0.99,8.55,0.34,715.0
BELGIUM,0.92,81.47,11.78,43820.84,11589623.0,383.0,42.0,0.98,1.0,9119000.0,4507.36,1.0,9.55,0.23,847.0
JAPAN,0.91,84.47,12.8,40799.01,126476461.0,347.0,48.0,0.92,1.0,31192000.0,4168.99,1.0,11.15,0.68,1668.0
AUSTRIA,0.91,81.43,12.56,46230.57,9006398.0,109.0,43.0,0.57,1.0,30816000.0,4939.88,1.0,6.35,0.47,1110.0
LUXEMBOURG,0.91,82.1,12.2,65543.05,625978.0,242.0,40.0,0.88,1.0,1018000.0,5782.63,1.0,8.65,0.36,934.0
ISRAEL,0.91,82.82,12.96,33649.69,8655535.0,400.0,30.0,0.93,1.0,4121000.0,3144.63,1.0,19.2,0.08,435.0
SLOVENIA,0.9,81.17,12.27,32143.04,2078938.0,103.0,45.0,0.55,1.0,4425000.0,1920.28,1.0,8.9,0.62,1162.0
SPAIN,0.89,83.43,9.82,35041.3,46754778.0,94.0,45.0,0.8,1.0,82773000.0,2506.46,1.0,13.3,0.37,636.0
FRANCE,0.89,82.54,11.42,40510.78,65273511.0,119.0,42.0,0.82,1.0,89322000.0,4379.73,1.0,10.7,0.31,867.0
MALTA,0.89,82.38,11.29,34795.18,441543.0,1380.0,43.0,0.93,1.0,2599000.0,2585.56,1.0,19.2,0.01,560.0
ITALY,0.88,83.35,10.25,36141.43,60461826.0,206.0,47.0,0.69,1.0,61567200.0,2840.13,1.0,13.45,0.32,832.0
ESTONIA,0.88,78.57,13.03,30378.63,1326535.0,31.0,42.0,0.68,1.0,3234000.0,1300.48,1.0,5.1,0.51,626.0
CYPRUS,0.87,80.83,12.1,33100.32,1207359.0,131.0,37.0,0.67,1.0,3939000.0,1731.69,1.0,18.45,0.19,498.0
GREECE,0.87,82.07,10.54,24909.34,10423054.0,81.0,46.0,0.85,1.0,30123000.0,1516.59,1.0,15.4,0.32,652.0
POLAND,0.87,78.54,12.29,27625.8,37846611.0,124.0,42.0,0.6,1.0,19622000.0,906.82,0.99,7.85,0.31,600.0
LITHUANIA,0.87,75.74,12.96,29775.26,2722289.0,43.0,45.0,0.71,1.0,2825000.0,1078.18,1.0,6.2,0.35,656.0
UNITED ARAB EMIRATES,0.87,77.81,10.95,66911.66,9890402.0,118.0,33.0,0.86,1.0,21286000.0,1357.02,1.0,27.0,0.05,78.0
SAUDI ARABIA,0.86,75.0,9.67,49338.41,34813871.0,16.0,32.0,0.84,1.0,15334000.0,1093.41,0.97,24.65,0.0,59.0
LATVIA,0.85,75.17,12.83,26300.77,1886198.0,30.0,44.0,0.69,1.0,1946000.0,930.35,1.0,5.6,0.54,641.0
PORTUGAL,0.85,81.86,9.19,27935.38,10196709.0,111.0,46.0,0.66,1.0,16186000.0,1908.03,1.0,15.15,0.35,854.0
QATAR,0.85,80.1,9.67,110488.74,2881053.0,248.0,32.0,0.96,1.0,1819300.0,1649.19,1.0,27.15,0.0,74.0
CHILE,0.85,80.04,10.45,21972.28,19116201.0,26.0,35.0,0.85,1.0,5723000.0,1381.99,1.0,8.45,0.24,1522.0
HUNGARY,0.84,76.7,11.89,27144.21,9660351.0,107.0,43.0,0.72,1.0,17552000.0,981.42,1.0,9.75,0.23,589.0
BAHRAIN,0.84,77.16,9.41,40399.12,1701575.0,2239.0,32.0,0.89,1.0,12045000.0,1127.19,1.0,27.15,0.01,83.0
CROATIA,0.84,78.34,11.41,23060.96,4105267.0,73.0,44.0,0.58,1.0,16645000.0,902.14,1.0,10.9,0.34,1113.0
OMAN,0.83,77.63,9.73,37039.23,5106626.0,16.0,31.0,0.87,1.0,2301000.0,587.65,0.96,25.6,0.0,125.0
ARGENTINA,0.83,76.52,10.56,17611.22,45195774.0,17.0,32.0,0.93,1.0,6942000.0,1324.6,0.99,14.8,0.1,591.0
BELARUS,0.82,74.59,12.31,17038.53,9449323.0,47.0,40.0,0.79,1.0,11501600.0,342.5,1.0,6.15,0.43,618.0
KAZAKHSTAN,0.82,73.24,11.78,22167.7,18776707.0,7.0,31.0,0.58,1.0,8789000.0,279.65,0.99,6.4,0.01,250.0
BULGARIA,0.82,74.93,11.81,19645.94,6948445.0,64.0,45.0,0.76,1.0,9273000.0,663.72,1.0,10.55,0.35,608.0
ROMANIA,0.82,75.92,10.98,23905.77,19237691.0,84.0,43.0,0.55,1.0,11720000.0,555.1,1.0,8.8,0.3,637.0
BARBADOS,0.81,79.08,10.56,15912.28,287375.0,668.0,40.0,0.31,1.0,680000.0,1183.84,1.0,26.0,0.15,1422.0
URUGUAY,0.81,77.77,8.73,19434.85,3473730.0,20.0,36.0,0.96,1.0,3469000.0,1591.53,1.0,17.55,0.11,1300.0
TURKEY,0.81,77.44,7.67,24905.38,84339067.0,110.0,32.0,0.76,1.0,45768000.0,444.65,1.0,11.1,0.15,593.0
MALAYSIA,0.8,76.0,10.16,27226.68,32365999.0,99.0,30.0,0.78,1.0,25832000.0,384.07,1.0,25.4,0.68,2875.0
SEYCHELLES,0.8,73.33,9.67,25076.87,98347.0,214.0,34.0,0.56,1.0,362000.0,791.66,0.96,27.15,0.88,2330.0
TRINIDAD AND TOBAGO,0.8,73.38,11.03,28497.37,1399488.0,273.0,36.0,0.52,1.0,375000.0,1124.09,0.95,25.75,0.46,2200.0
MAURITIUS,0.8,74.86,9.43,22724.23,1271768.0,626.0,37.0,0.41,0.9747,1399000.0,599.7,1.0,22.4,0.19,2041.0
PANAMA,0.8,78.33,10.17,20454.87,4314767.0,58.0,30.0,0.68,1.0,1785000.0,1112.3,0.98,25.4,0.62,2928.0
COSTA RICA,0.79,80.1,8.67,14789.93,5094118.0,100.0,33.0,0.8,1.0,3017000.0,869.08,1.0,24.8,0.55,2926.0
GEORGIA,0.79,73.6,12.81,9569.52,3989167.0,57.0,38.0,0.58,1.0,4757000.0,293.05,1.0,5.8,0.41,1026.0
SRI LANKA,0.78,76.81,11.05,11610.91,21413249.0,341.0,34.0,0.18,0.9958,2334000.0,159.48,0.98,26.95,0.33,1712.0
CUBA,0.78,78.73,11.75,7811.36,11326616.0,106.0,42.0,0.78,1.0,4684000.0,987.63,0.96,25.2,0.31,1335.0
ANTIGUA AND BARBUDA,0.78,76.89,9.26,22201.23,97929.0,223.0,34.0,0.26,1.0,269000.0,673.86,0.98,26.0,0.22,1030.0
BOSNIA AND HERZEGOVINA,0.77,77.26,9.69,12689.68,3280819.0,64.0,43.0,0.52,1.0,1053000.0,460.47,1.0,9.85,0.43,1028.0
MEXICO,0.77,74.99,8.6,17628.12,128932753.0,66.0,29.0,0.84,1.0,41313000.0,494.68,0.97,21.0,0.34,758.0
THAILAND,0.76,76.93,7.73,16128.55,69799978.0,137.0,40.0,0.51,1.0,38178000.0,247.04,0.98,26.3,0.32,1622.0
GRENADA,0.76,72.38,8.8,12683.83,112523.0,331.0,32.0,0.35,0.9529,185000.0,497.24,0.99,26.65,0.5,2350.0
BRAZIL,0.76,75.67,7.84,14068.05,212559417.0,25.0,33.0,0.88,1.0,6621000.0,928.8,1.0,24.95,0.59,1761.0
COLOMBIA,0.76,77.11,8.33,12895.59,50882891.0,46.0,31.0,0.8,0.9994,3904000.0,459.2,0.97,24.5,0.53,3240.0
ARMENIA,0.76,74.94,11.79,9277.23,2963243.0,104.0,35.0,0.63,1.0,1652000.0,407.64,1.0,7.15,0.12,562.0
ALGERIA,0.76,76.69,7.99,13639.43,43851044.0,18.0,29.0,0.73,1.0,2657000.0,258.49,0.84,22.5,0.01,89.0
PERU,0.76,76.52,9.22,12322.66,32971854.0,26.0,31.0,0.79,0.952,4419000.0,332.57,0.91,19.6,0.58,1738.0
CHINA,0.76,76.7,7.9,16126.57,1439323776.0,153.0,38.0,0.61,1.0,62900000.0,440.83,0.98,6.95,0.22,645.0
ECUADOR,0.76,76.8,8.99,10141.15,17643054.0,71.0,28.0,0.63,1.0,2535000.0,518.03,0.93,21.85,0.5,2274.0
AZERBAIJAN,0.75,72.86,10.48,15240.14,10139177.0,123.0,32.0,0.56,1.0,2633000.0,275.81,0.95,11.95,0.14,447.0
UKRAINE,0.75,71.95,11.34,7994.21,43733762.0,75.0,41.0,0.69,1.0,14104000.0,177.41,0.96,8.3,0.17,565.0
DOMINICAN REPUBLIC,0.74,73.89,7.94,15074.26,10847910.0,225.0,28.0,0.85,1.0,6569000.0,433.21,0.85,24.55,0.42,1410.0
TUNISIA,0.74,76.5,7.17,10676.96,11818619.0,76.0,33.0,0.7,0.998,8299000.0,250.56,1.0,19.2,0.07,207.0
MONGOLIA,0.73,69.69,10.17,10783.71,3278290.0,2.0,28.0,0.67,0.981,529000.0,148.78,0.66,-0.7,0.08,241.0
LEBANON,0.73,78.88,8.7,11136.25,6825445.0,667.0,30.0,0.78,1.0,1964000.0,719.44,0.99,16.4,0.13,661.0
JAMAICA,0.73,74.37,9.8,7931.52,2961167.0,273.0,31.0,0.55,0.9893,2473000.0,307.2,0.98,24.95,0.31,2051.0
FIJI,0.72,67.34,10.88,9110.44,896445.0,49.0,28.0,0.59,0.9959,870000.0,188.41,1.0,24.4,0.56,2592.0
PARAGUAY,0.72,74.13,8.45,11719.96,7132538.0,18.0,26.0,0.62,1.0,1181000.0,381.11,1.0,23.55,0.38,1130.0
JORDAN,0.72,74.4,10.45,8267.81,10203134.0,115.0,24.0,0.91,0.999,4150000.0,340.66,0.98,18.3,0.01,111.0
BELIZE,0.72,74.5,9.8,7135.97,397628.0,17.0,25.0,0.46,0.9954,489000.0,280.5,0.99,25.3,0.6,1705.0
MALDIVES,0.72,78.63,6.82,12549.26,540544.0,1802.0,30.0,0.35,1.0,1484000.0,1006.94,1.0,27.65,0.03,1972.0
PHILIPPINES,0.71,71.1,9.39,9539.7,109581078.0,368.0,26.0,0.47,0.9486,7168000.0,132.9,0.94,25.85,0.28,2348.0
MOLDOVA,0.71,71.81,11.56,6833.11,4033963.0,123.0,38.0,0.43,1.0,160000.0,191.19,0.97,9.45,0.13,450.0
UZBEKISTAN,0.71,71.57,11.52,6461.84,33469203.0,79.0,28.0,0.5,1.0,5346000.0,98.82,0.98,12.05,0.08,206.0
INDONESIA,0.71,71.51,7.98,11255.78,273523615.0,151.0,30.0,0.56,0.9851,15810000.0,114.97,0.94,25.85,0.5,2702.0
SOUTH AFRICA,0.7,63.86,10.24,11756.3,59308690.0,49.0,28.0,0.67,0.9123,10472000.0,499.24,1.0,17.75,0.08,495.0
BOLIVIA,0.7,71.24,9.02,6849.2,11673021.0,11.0,26.0,0.69,0.9559,1142000.0,220.27,0.97,21.55,0.5,1146.0
VIETNAM,0.69,75.32,8.2,6220.27,97338579.0,314.0,32.0,0.38,1.0,15498000.0,129.58,0.99,24.45,0.48,1821.0
MOROCCO,0.68,76.45,5.51,7479.59,36910560.0,83.0,30.0,0.64,1.0,12289000.0,161.01,0.99,17.1,0.13,346.0
GUYANA,0.67,69.77,8.47,7615.42,786552.0,4.0,27.0,0.27,0.9185,287000.0,230.53,0.98,26.0,0.84,2387.0
EL SALVADOR,0.67,73.1,6.94,6973.46,6486205.0,313.0,28.0,0.73,1.0,1677300.0,282.49,0.98,24.45,0.13,1784.0
TAJIKISTAN,0.66,70.88,10.67,3482.38,9537645.0,68.0,22.0,0.27,0.993,1035000.0,57.9,0.93,2.0,0.03,691.0
GUATEMALA,0.65,74.06,6.47,7377.92,17915568.0,167.0,23.0,0.52,0.947,1781000.0,259.94,0.98,23.45,0.33,1996.0
NICARAGUA,0.65,74.28,6.8,4789.84,6624554.0,55.0,26.0,0.57,0.8808,1256000.0,192.08,0.99,24.9,0.26,2280.0
INDIA,0.65,69.42,6.45,6828.6,1380004385.0,464.0,28.0,0.35,0.9524,17423000.0,69.29,0.97,23.65,0.24,1083.0
BHUTAN,0.62,71.46,3.14,8609.12,771608.0,20.0,28.0,0.46,1.0,274000.0,96.8,1.0,7.4,0.72,2200.0
ZAMBIA,0.59,63.51,7.1,3581.89,18383955.0,25.0,18.0,0.45,0.3981,1072000.0,67.65,0.86,21.4,0.65,1020.0
CAMBODIA,0.58,69.57,4.84,3597.4,16718965.0,95.0,26.0,0.24,0.9155,6201000.0,82.08,1.0,26.8,0.53,1904.0
NEPAL,0.58,70.48,4.86,2748.2,29136808.0,203.0,25.0,0.21,0.9392,1173000.0,47.92,0.91,8.1,0.25,1500.0
ANGOLA,0.57,60.78,5.13,5554.7,32866272.0,26.0,17.0,0.67,0.4326,218000.0,114.46,0.75,21.55,0.46,1010.0
ZIMBABWE,0.56,61.2,8.34,2661.07,14862924.0,38.0,19.0,0.38,0.4104,2580000.0,110.15,0.97,21.0,0.36,657.0
SOLOMON ISLANDS,0.56,72.83,5.54,2026.72,686884.0,25.0,20.0,0.23,0.6667000000000001,27900.0,101.24,0.93,25.65,0.78,3028.0
PAPUA NEW GUINEA,0.54,64.26,4.62,3685.8,8947024.0,20.0,22.0,0.13,0.5897,140000.0,61.46,0.88,25.25,0.74,3142.0
COMOROS,0.54,64.12,4.91,2426.39,869601.0,467.0,20.0,0.29,0.8192,35900.0,58.76,0.93,25.55,0.2,900.0
TANZANIA,0.53,65.02,6.01,2805.12,59734218.0,67.0,18.0,0.37,0.3556,1378000.0,33.92,0.77,22.35,0.52,1071.0
MADAGASCAR,0.52,66.68,6.1,1403.92,27691018.0,48.0,20.0,0.39,0.2591,291000.0,24.67,0.82,22.65,0.21,1513.0
BENIN,0.52,61.47,3.77,2134.59,12123200.0,108.0,19.0,0.48,0.4153,295000.0,30.77,0.85,27.55,0.38,1039.0
LESOTHO,0.52,53.7,6.35,3243.84,2142249.0,71.0,24.0,0.31,0.47,1173000.0,104.55,0.95,11.85,0.02,788.0
TOGO,0.51,60.76,4.95,1592.54,8278724.0,152.0,19.0,0.43,0.5135000000000001,573000.0,38.05,0.91,27.15,0.03,1168.0
HAITI,0.5,63.66,5.44,1664.89,11402528.0,414.0,24.0,0.57,0.4528,447000.0,62.35,0.65,24.9,0.03,1440.0
MALAWI,0.49,63.8,4.63,1159.12,19129952.0,203.0,18.0,0.18,0.1802,871000.0,32.26,0.96,21.9,0.33,1181.0
ETHIOPIA,0.47,66.24,2.8,1781.76,114963588.0,115.0,19.0,0.21,0.4498,849000.0,25.26,0.93,22.2,0.13,848.0
MOZAMBIQUE,0.45,60.16,3.54,1153.7,31255435.0,40.0,18.0,0.38,0.311,2743000.0,21.07,0.81,23.8,0.48,1032.0
SIERRA LEONE,0.44,54.31,3.6,1381.3,7976983.0,111.0,19.0,0.43,0.261,57000.0,66.4,0.85,26.05,0.43,2526.0
BURKINA FASO,0.43,61.17,1.59,1705.49,20903273.0,76.0,18.0,0.31,0.14400000000000002,144000.0,44.4,0.98,28.25,0.19,748.0
MALI,0.43,58.89,2.35,1965.39,20250833.0,17.0,16.0,0.44,0.509,14000.0,31.38,0.96,28.25,0.04,282.0
NIGER,0.38,62.02,2.03,912.04,24206644.0,19.0,15.0,0.17,0.17600000000000002,157000.0,29.26,1.0,27.15,0.01,151.0
